Month,Sold,Total Income,Total Expenses,Entertainment,Fixed Expenses,Food,Savings,Emergency Savings,Saved Balance,Inflation Rate,Seasonal Factor Sold,Seasonal Factor Total Income,Seasonal Factor Entertainment,Seasonal Factor Fixed Expenses,Seasonal Factor Food,Seasonal Factor Savings,Seasonal Factor Emergency Savings,Seasonal Factor Saved Balance,Seasonal Factor Total Expenses
January,1293.55,3000,3145.54,365.93,754.54,292.48,202.72,301.25,1851.99,0.03,1.1,1.15,1.12,0.84,0.94,1.13,0.91,0.9,1.15
February,823.94,2500,1828.95,357.43,789.07,980.77,295.75,94.36,1005.01,0.03,1.05,1.04,1.03,0.81,0.84,1.19,0.95,1.18,1.04
March,783.76,2700,3519.50,717.08,401.49,422.28,136.82,153.76,2735.74,0.03,1.08,1.02,0.82,0.96,1.01,1.08,1.02,0.93,0.82
April,500.42,3200,5275.98,466.45,812.58,226.62,378.07,83.07,4775.56,0.04,1.03,1.09,1.19,1.19,0.91,1.08,0.9,0.85,1.03
May,1349.56,3400,3969.37,659.60,993.40,738.02,303.87,192.44,2619.81,0.03,1.06,1.2,1.02,1.05,1.2,0.84,1.18,1,1.09
June,1204.09,3100,3054.25,152.53,696.41,127.36,425.82,247.75,1850.16,0.02,1.02,1.1,0.93,1.16,1.15,1.2,0.96,0.87,0.98
July,720.21,2900,8681.81,627.84,1108.59,416.26,267.72,267.22,7961.60,0.02,1.12,1.06,1.02,0.86,0.87,1.01,1.04,0.97,1.13
August,758.32,2800,2725.28,175.71,517.12,710.82,300.57,431.33,1966.96,0.02,1.09,1.07,1.2,1.11,1.14,1.18,1.12,1.05,0.91
September,546.40,2600,1574.00,217.91,316.51,240.10,160.51,150.69,1027.60,0.03,1.01,1.05,1.02,0.83,1.17,0.83,0.96,0.92,1.04
October,1159.14,3500,3974.28,688.75,1134.65,784.49,466.62,56.17,2815.14,0.02,1.15,1.13,1.1,0.9,0.81,0.88,0.87,1.01,0.82
November,1235.48,4000,2386.36,391.86,817.53,785.55,354.99,464.58,1150.88,0.03,1.08,1.12,1.1,1.03,0.95,0.8,1.05,1.19,0.91
December,523.20,2700,8457.49,155.65,232.25,499.85,127.34,488.28,7934.29,0.04,1.09,1.09,0.95,0.87,0.97,1.14,1.14,1.06,1.13
September,250.0,5000,2300,175.0,0,187.5,1425.0,475.0,4750.0,0.03,0.6016478147048056,0.8571428571428571,0.5254282924163208,0.44297387259830134,0.4628731163448253,0.5630612722170253,0.616970896311713,0.32713317561017796,0.388699480437538
September,1000.0,5000,1300,200.0,300.0,200.0,800.0,400.0,4000.0,0.03,0.4643494344761021,1.1932367149758454,0.4957383330680509,0.22148693629915067,0.43346173640461,2.126752032688101,1.1940999442144513,0.884783367738853,0.49478501973068495
October,50.0,500,1000,290.0,390.0,312.5,890.0,422.5,4450.0,0.03,1.3358467641361964,1.0560344827586208,1.8017504587293107,1.662183603143516,1.6610244854131062,1.1570866839066207,0.20662129851020783,0.8485774707749468,1.0660456871358337
